account_id,customer_id,account_type,account_status,open_date,balance,branch_code
5fe6b12a,17bd3841,Savings,Inactive,2019-10-27,57****64,BR628
9a4c4f65,73238404,Investment,Pending Review,2021-03-16,67****17,BR241
4f9b0275,6aa26df2,Credit,Inactive,2019-05-07,49****41,BR876
99af8ad6,ea5716ea,Savings,Closed,2020-05-11,13****74,BR506
1871e2cb,6bfeb59e,Checking,Closed,2022-11-20,93****11,BR552
586ca874,86ffe45d,Savings,Closed,2024-10-16,30****41,BR357
71d50c6c,476e36ff,Investment,Closed,2022-08-09,44***.8,BR429
d91e4389,4386f462,Savings,Closed,2025-06-22,14****23,BR957
62ce5dc4,db4f2698,Checking,Active,2021-11-16,57***52,BR108
000e5885,807076c9,Checking,Closed,2018-10-20,87***.1,BR611
6b47609e,d70d698d,Loan,Active,2023-11-22,16****69,BR648
e49e401c,f3f2d074,Loan,Active,2020-04-07,29**.6,BR110
9243d64e,2eb6b9ab,Loan,Active,2018-06-28,55****52,BR344
a1bc94c9,fb22120d,Savings,Active,2018-12-07,89***.7,BR315
f5968dba,ec2e3204,Investment,Active,2025-03-24,10****95,BR116
f50fad43,5ad2599e,Credit,Active,2019-09-22,37****78,BR919
cea72ffe,da595467,Credit,Inactive,2022-07-13,71****42,BR362
c29e34d8,76355b59,Savings,Pending Review,2026-02-17,50***38,BR297
41a87021,75487f81,Credit,Pending Review,2025-11-30,65****56,BR618
