detail_id,payroll_id,deduction_type,amount
08cc0f2b8b35592a,08cc0f2b8b35592a,deduction_type_59,2309.55
2b534d742378756e,2b534d742378756e,deduction_type_60,2347.0
e38a48a99c21a49a,e38a48a99c21a49a,deduction_type_61,2384.45
58ceef372c7a99b7,58ceef372c7a99b7,deduction_type_62,2421.9
269fcd6cad2c9435,269fcd6cad2c9435,deduction_type_63,2459.35
1cf42155e42a4d2b,1cf42155e42a4d2b,deduction_type_64,2496.8
99312996640b862a,99312996640b862a,deduction_type_65,2534.25
e0c7637cc2c8459d,e0c7637cc2c8459d,deduction_type_66,2571.7
28683e9ba7d4f04c,28683e9ba7d4f04c,deduction_type_67,2609.15
1517a130777cbc68,1517a130777cbc68,deduction_type_68,2646.6
a3a4b6381f7d7aaf,a3a4b6381f7d7aaf,deduction_type_69,2684.05
e4492e29a7a37617,e4492e29a7a37617,deduction_type_70,2721.5
418d28d94a2596bc,418d28d94a2596bc,deduction_type_71,2758.95
868b983851df4d52,868b983851df4d52,deduction_type_72,2796.4
4aeadbd38bca511f,4aeadbd38bca511f,deduction_type_73,2833.85
ea5aa4d0623b09a6,ea5aa4d0623b09a6,deduction_type_74,2871.3
a587f8d67ddd6bd7,a587f8d67ddd6bd7,deduction_type_75,2908.75
f63c2bb19d2e354c,f63c2bb19d2e354c,deduction_type_76,2946.2
0fcc450c43fdf017,0fcc450c43fdf017,deduction_type_77,2983.65
1f4d9fb581e17267,1f4d9fb581e17267,deduction_type_78,3021.1
6530e012bde32f1c,6530e012bde32f1c,deduction_type_79,3058.55
d6e440ff34d38c44,d6e440ff34d38c44,deduction_type_80,3096.0
0459a0ce0f75dbfd,0459a0ce0f75dbfd,deduction_type_81,3133.45
5811a03da3dce2f1,5811a03da3dce2f1,deduction_type_82,3170.9
5cc676969b568905,5cc676969b568905,deduction_type_83,3208.35
62a9c755bc14a796,62a9c755bc14a796,deduction_type_84,3245.8
791120b22a600f65,791120b22a600f65,deduction_type_85,3283.25
1a66068ca0fed4bd,1a66068ca0fed4bd,deduction_type_86,3320.7
e67129d48aa1c87c,e67129d48aa1c87c,deduction_type_87,3358.15
5d3caded9cead44f,5d3caded9cead44f,deduction_type_88,3395.6
aca431a5beffe7fc,aca431a5beffe7fc,deduction_type_89,3433.05
ce2f1835bad3857f,ce2f1835bad3857f,deduction_type_90,3470.5
ee549f5a0c6dca3c,ee549f5a0c6dca3c,deduction_type_91,3507.95
ec23f9ca86eb0d1c,ec23f9ca86eb0d1c,deduction_type_92,3545.4
1f9630a2c8505603,1f9630a2c8505603,deduction_type_93,3582.85
3c160479ef737900,3c160479ef737900,deduction_type_94,3620.3
3324162cba125bb4,3324162cba125bb4,deduction_type_95,3657.75
964218f179d9953b,964218f179d9953b,deduction_type_96,3695.2
399089bb34b4600e,399089bb34b4600e,deduction_type_97,3732.65
e861d3a8ae1005d3,e861d3a8ae1005d3,deduction_type_98,3770.1
45fde48d870186e4,45fde48d870186e4,deduction_type_99,3807.55
